,country_code,country_name,school_attendance,year
873,MNG,Mongolia,86.5,2018
874,MNE,Montenegro,87.36942291259766,2018
877,MOZ,Mozambique,3.4000000953674316,2011
878,MMR,Myanmar,35.5,2016
879,NAM,Namibia,24.399999618530273,2013
881,NPL,Nepal,47.40243911743164,2019
885,NER,Niger,3.9000000953674316,2012
886,NGA,Nigeria,34.5,2018
888,MKD,North Macedonia,90.44892120361328,2019
891,PAK,Pakistan,32.61494064331055,2018
893,PAN,Panama,62,2013
895,PRY,Paraguay,63,2017
896,PER,Peru,65.9000015258789,2012
897,PHL,Philippines,40.97438049316406,2017
900,QAT,Qatar,87.66545867919922,2012
902,MDA,Republic of Moldova,67.5999984741211,2012
905,RWA,Rwanda,14.800000190734863,2015
907,LCA,Saint Lucia,83.9000015258789,2012
909,WSM,Samoa,73.09429168701172,2020
911,STP,Sao Tome and Principe,29.836000442504883,2019
913,SEN,Senegal,17.339670181274414,2019
914,SRB,Serbia,94.08159637451172,2019
916,SLE,Sierra Leone,28.600000381469727,2017
922,ZAF,South Africa,69.73050689697266,2016
923,SSD,South Sudan,4.5,2010
925,LKA,Sri Lanka,72.66361999511719,2016
926,PSE,State of Palestine,71.33688354492188,2020
927,SDN,Sudan,29.100000381469727,2014
928,SUR,Suriname,30.5,2018
932,TJK,Tajikistan,80.45935821533203,2017
933,THA,Thailand,69.58997344970703,2019
934,TLS,Timor-Leste,37.7005615234375,2016
935,TGO,Togo,23.74941062927246,2017
937,TON,Tonga,55.45376968383789,2019
939,TUN,Tunisia,59.29999923706055,2018
941,TKM,Turkmenistan,95.49913024902344,2019
942,TCA,Turks and Caicos Islands,74.74761199951172,2020
943,TUV,Tuvalu,43.43544006347656,2020
944,UGA,Uganda,7.800000190734863,2016
945,UKR,Ukraine,64.9000015258789,2012
948,TZA,United Republic of Tanzania,3.0999999046325684,2016
950,URY,Uruguay,42.400001525878906,2013
954,VNM,Viet Nam,70.69999694824219,2014
955,YEM,Yemen,29.299999237060547,2013
956,ZMB,Zambia,29.145580291748047,2018
957,ZWE,Zimbabwe,36.900001525878906,2019
